id,requirement,backend,db,frontend,validation,test,demo_evidence,status,owner,notes
A5.6,Approval/refusal,,,,,,,NOT_STARTED,,
A5.7,Allocation validity,,,,,,,NOT_STARTED,,
A5.8,Taken/remaining balance,,,,,,,NOT_STARTED,,
A5.9,Atomic consumption,,,,,,,NOT_STARTED,,
A5.10,Payroll integration,,,,,,,NOT_STARTED,,
A5.11,Unpaid leave,,,,,,,NOT_STARTED,,
A6.1,Structure CRUD/active,,,,,,,NOT_STARTED,,
A6.2,Ordered rules,,,,,,,NOT_STARTED,,
A6.3,Rule count/usage refs,,,,,,,NOT_STARTED,,
A6.4,Explicit payrun structure selection,,,,,,,NOT_STARTED,,
A7.1,Rule CRUD name/code/category/sequence,,,,,,,NOT_STARTED,,
A7.2,Categories BASIC..NET,,,,,,,NOT_STARTED,,
A7.3,FIXED,,,,,,,NOT_STARTED,,
A7.4,PERCENTAGE,,,,,,,NOT_STARTED,,
A7.5,FORMULA,,,,,,,NOT_STARTED,,
A7.6,Sequence-driven dependencies,,,,,,,NOT_STARTED,,
A7.7,Rules actually drive payslips,,,,,,,NOT_STARTED,,
A8.1,Wizard step 1 period+structure,,,,,,,NOT_STARTED,,
A8.2,Wizard step 2 employee selection,,,,,,,NOT_STARTED,,
A8.3,Payrun exists only after Create,,,,,,,NOT_STARTED,,
A8.4,Only selected eligible employees,,,,,,,NOT_STARTED,,
A9.1,DRAFT-COMPUTED-VALIDATED-PAID,,,,,,,NOT_STARTED,,
A9.2,Compute,,,,,,,NOT_STARTED,,
A9.3,Recompute before finalization,,,,,,,NOT_STARTED,,
A9.4,Validate,,,,,,,NOT_STARTED,,
A9.5,Mark Paid,,,,,,,NOT_STARTED,,
A9.6,Send Payslips,,,,,,,NOT_STARTED,,
A9.7,Missing payroll data warning,,,,,,,NOT_STARTED,,
A9.8,Duplicate payslip warning,,,,,,,NOT_STARTED,,
A9.9,Invalid contract/context blocker,,,,,,,NOT_STARTED,,
A9.10,Invalid rule/input blocker,,,,,,,NOT_STARTED,,
A9.11,Historical preservation,,,,,,,NOT_STARTED,,
A9.12,Freeze / controlled reopen,,,,,,,NOT_STARTED,,
A10.1,Payslip list,,,,,,,NOT_STARTED,,
A10.2,Payrun relationship/employee/structure/period/status,,,,,,,NOT_STARTED,,
A10.3,Worked-day input context,,,,,,,NOT_STARTED,,
A10.4,Rule-line breakdown,,,,,,,NOT_STARTED,,
A10.5,Gross/deductions/net,,,,,,,NOT_STARTED,,
A10.6,Selected payslip drives document,,,,,,,NOT_STARTED,,
A10.7,Historical period context,,,,,,,NOT_STARTED,,
A11.1,Real PDF,,,,,,,NOT_STARTED,,
A11.2,Correct details,,,,,,,NOT_STARTED,,
A11.3,Robust layout/pagination,,,,,,,NOT_STARTED,,
A11.4,Individual download,,,,,,,NOT_STARTED,,
A11.5,Bulk delivery,,,,,,,NOT_STARTED,,
A11.6,SMTP when configured,,,,,,,NOT_STARTED,,
A11.7,Persisted outbox fallback,,,,,,,NOT_STARTED,,
A11.8,Delivery status,,,,,,,NOT_STARTED,,
A11.9,Email failure isolation,,,,,,,NOT_STARTED,,
A12.1,Live DB-derived metrics,,,,,,,NOT_STARTED,,
A12.2,Period/Dept/Type filters,,,,,,,NOT_STARTED,,
A12.3,Total Net Salary Paid (state-aware label),,,,,,,NOT_STARTED,,
A12.4,Payslips/Avg/Time-off/Attendance KPIs,,,,,,,NOT_STARTED,,
A12.5,Salary cost by department,,,,,,,NOT_STARTED,,
A12.6,Monthly net trend,,,,,,,NOT_STARTED,,
A12.7,Dept headcount + spend,,,,,,,NOT_STARTED,,
A12.8,Attendance & time-off overviews,,,,,,,NOT_STARTED,,
A12.9,Operational/missing-info/blocker/contract alerts,,,,,,,NOT_STARTED,,
A12.10,Hover-focus graph inspection,,,,,,,NOT_STARTED,,
A12.11,No graph-click navigation,,,,,,,NOT_STARTED,,
A13.1,Five roles,,,,,,,NOT_STARTED,,
A13.2,Server-side permission matrix,,,,,,,NOT_STARTED,,
A13.3,Employee privacy,,,,,,,NOT_STARTED,,
A13.4,HR Manager no payrun admin,,,,,,,NOT_STARTED,,
A13.5,Admin manages users/roles,,,,,,,NOT_STARTED,,
B1,Real authentication,Email/password login and current-user routes,User lockout fields,,Zod credential validation,auth.test.ts,Manual login as usr-pm through running API,VERIFIED,MAITRI137,Generic credential errors prevent account enumeration
B2,HTTP-only server session,PostgreSQL-backed rolling session,user_session table,,8h idle and 12h absolute expiry,auth.test.ts,Manual login-me-logout cookie flow,VERIFIED,MAITRI137,Session ID regenerated on login and password change
B3,Password hashing,Argon2id verify and rehash flow,passwordHash only,,12-character new-password minimum,auth.test.ts,Seeded local credential exercised through API,VERIFIED,MAITRI137,Plaintext password is never persisted
B4,CSRF/origin mitigation,Origin or Referer guard,,,Safe-method allowlist and exact origin match,auth.test.ts,Cross-origin POST returns ORIGIN_MISMATCH,VERIFIED,MAITRI137,Guard runs before state-changing handlers
B5,Zod/API validation,,,,,,,NOT_STARTED,,
B6,IDOR protection,,,,,,,NOT_STARTED,,
B7,DB money precision,Prisma Decimal fields,PostgreSQL DECIMAL(18-2),,Schema constraints,database-contract.test.ts,Seeded schema validation,VERIFIED,MAITRI137,Migration applied and exercised against persisted seed data
B8,decimal.js path,,,,,,,NOT_STARTED,,
B9,API money strings,,,,,,,NOT_STARTED,,
B10,Restricted formula AST/scope,,,,,,,NOT_STARTED,,
B11,Unknown symbol rejection,,,,,,,NOT_STARTED,,
B12,Duplicate payslip DB constraint,,,,,,,NOT_STARTED,,
B13,Contract-overlap validation,,,,,,,NOT_STARTED,,
B14,Payrun state machine,,,,,,,NOT_STARTED,,
B15,Paid payroll immutability,,,,,,,NOT_STARTED,,
B16,Atomic leave consumption,,,,,,,NOT_STARTED,,
B17,Audit trail,,,,,,,NOT_STARTED,,
B18,Deterministic snapshot/hash,,,,,,,NOT_STARTED,,
B19,Calculation provenance,,,,,,,NOT_STARTED,,
B20,PDF failure isolation,,,,,,,NOT_STARTED,,
B21,Delivery failure isolation,,,,,,,NOT_STARTED,,
B22,Deterministic seed/reset,Idempotent Prisma seed,42 employees and linked payroll inputs,,Exact record-count contract,database-contract.test.ts,Two consecutive seed runs produced identical counts,VERIFIED,MAITRI137,Seed password is local-demo only
B23,Automated tests,,,,,,,NOT_STARTED,,
B24,Docker/local runtime,Express and Prisma runtime,PostgreSQL compose plus migration,,,health.test.ts,Verified with native WSL PostgreSQL,PARTIAL,MAITRI137,Docker Desktop host socket is unhealthy; compose definition remains ready for clean hosts
B25,Core demo works offline,,,,,,,NOT_STARTED,,
C1,Persist rule id/code/version + provenance,,,,,,,NOT_STARTED,,
C2,Why? on every line,,,,,,,NOT_STARTED,,
C3,Business-language chain,,,,,,,NOT_STARTED,,
C4,Source records clickable,,,,,,,NOT_STARTED,,
C5,No hash noise in primary UI,,,,,,,NOT_STARTED,,
C6,Explanation matches selected payslip,,,,,,,NOT_STARTED,,
D1,Payroll Exception Center,,,,,,,NOT_STARTED,,
D2,Readiness / data quality score,,,,,,,NOT_STARTED,,
D3,Unified Approval Inbox,,,,,,,NOT_STARTED,,
D4,Contract-expiry alerts,,,,,,,NOT_STARTED,,
D5,Probation-ending alerts,,,,,,,NOT_STARTED,,
D6,Missing-information center,,,,,,,NOT_STARTED,,
D7,Guided payroll checklist,,,,,,,NOT_STARTED,,
D8,Payroll period freeze,,,,,,,NOT_STARTED,,
D9,Controlled reopen with reason,,,,,,,NOT_STARTED,,
D10,Saved report/filter views,,,,,,,NOT_STARTED,,
D11,Global search,,,,,,,NOT_STARTED,,
D12,Notification center,,,,,,,NOT_STARTED,,
E1,Payroll simulation/preview,,,,,,,NOT_STARTED,,
E2,Salary rule sandbox,,,,,,,NOT_STARTED,,
E3,Month-over-month comparison,,,,,,,NOT_STARTED,,
E4,Why did my salary change,,,,,,,NOT_STARTED,,
E5,Payroll reconciliation,,,,,,,NOT_STARTED,,
E6,Department budget vs actual,,,,,,,NOT_STARTED,,
E7,What-if salary increase,,,,,,,NOT_STARTED,,
E8,What-if headcount cost,,,,,,,NOT_STARTED,,
E9,Employer cost calculation,,,,,,,NOT_STARTED,,
E10,Compensation history,,,,,,,NOT_STARTED,,
E11,Payslip version comparison,,,,,,,NOT_STARTED,,
F1,Employee timeline,,,,,,,NOT_STARTED,,
F2,Bulk employee import,,,,,,,NOT_STARTED,,
F3,Bulk employee updates,,,,,,,NOT_STARTED,,
F4,Self-service profile-change requests,,,,,,,NOT_STARTED,,
F5,Salary-change approval,,,,,,,NOT_STARTED,,
F6,Contract attachments,,,,,,,NOT_STARTED,,
F7,Employee documents,,,,,,,NOT_STARTED,,
F8,Department manager limited view,,,,,,,NOT_STARTED,,
F9,Organization hierarchy,,,,,,,NOT_STARTED,,
F10,Onboarding checklist,,,,,,,NOT_STARTED,,
F11,Offboarding workflow,,,,,,,NOT_STARTED,,
G1,Late detection,,,,,,,NOT_STARTED,,
G2,Early-departure detection,,,,,,,NOT_STARTED,,
G3,Missing-checkout detection,,,,,,,NOT_STARTED,,
G4,Excessive-hours warning,,,,,,,NOT_STARTED,,
G5,Overtime calculation,,,,,,,NOT_STARTED,,
G6,Attendance anomaly detection,,,,,,,NOT_STARTED,,
G7,Attendance calendar,,,,,,,NOT_STARTED,,
G8,Bulk attendance corrections,,,,,,,NOT_STARTED,,
G9,Correction reasons/audit,,,,,,,NOT_STARTED,,
H1,Leave calendar,,,,,,,NOT_STARTED,,
H2,Team conflict detection,,,,,,,NOT_STARTED,,
H3,Carry-forward rules,,,,,,,NOT_STARTED,,
H4,Accrual rules,,,,,,,NOT_STARTED,,
H5,Half-day leave,,,,,,,NOT_STARTED,,
H6,Holiday calendar,,,,,,,NOT_STARTED,,
H7,Manager approval chain,,,,,,,NOT_STARTED,,
H8,Leave forecast,,,,,,,NOT_STARTED,,
I1,CSV export,,,,,,,NOT_STARTED,,
I2,Report PDF export,,,,,,,NOT_STARTED,,
I3,Saved reports,,,,,,,NOT_STARTED,,
I4,Authorized drill-down,,,,,,,NOT_STARTED,,
I5,Explainable KPI,,,,,,,NOT_STARTED,,
I6,Salary distribution,,,,,,,NOT_STARTED,,
I7,Department comparison,,,,,,,NOT_STARTED,,
I8,Employee-type comparison,,,,,,,NOT_STARTED,,
I9,Payroll variance,,,,,,,NOT_STARTED,,
I10,Attendance/leave trend,,,,,,,NOT_STARTED,,
I11,No confidential payroll exposure to Employee,,,,,,,NOT_STARTED,,
J1,Role-specific home,,,,,,,NOT_STARTED,,
J2,Exception-first payroll,,,,,,,NOT_STARTED,,
J3,Searchable/sortable/paginated tables,,,,,,,NOT_STARTED,,
J4,Empty/loading/error states,,,,,,,NOT_STARTED,,
J5,Toast + inline mutation feedback,,,,,,,NOT_STARTED,,
J6,Confirmation for high-consequence actions,,,,,,,NOT_STARTED,,
J7,Pending/disabled duplicate prevention,,,,,,,NOT_STARTED,,
J8,Keyboard nav + visible focus,,,,,,,NOT_STARTED,,
J9,Responsive layout,,,,,,,NOT_STARTED,,
J10,Reduced motion,,,,,,,NOT_STARTED,,
J11,Styled dropdowns/controls,,,,,,,NOT_STARTED,,
J12,Lucide icons only,,,,,,,NOT_STARTED,,
J13,Dynamic graph tooltips,,,,,,,NOT_STARTED,,
J14,No dark theme,,,,,,,NOT_STARTED,,
J15,Brand/Accent/warning tokens,,,,,,,NOT_STARTED,,
K1,Double-click protection,,,,,,,NOT_STARTED,,
K2,Idempotency where critical,,,,,,,NOT_STARTED,,
K3,Transaction boundaries,,,,,,,NOT_STARTED,,
K4,Zero-data report handling,,,,,,,NOT_STARTED,,
K5,External-service isolation,,,,,,,NOT_STARTED,,
K6,Useful errors,,,,,,,NOT_STARTED,,
K7,Retry-safe PDF,,,,,,,NOT_STARTED,,
K8,Stale-data invalidation,,,,,,,NOT_STARTED,,
K9,DB indexes,,,,,,,NOT_STARTED,,
K10,N+1 prevention,,,,,,,NOT_STARTED,,
K11,Responsive hot interactions,,,,,,,NOT_STARTED,,
X01,Universal Action Launcher,,,,,,,NOT_STARTED,,
X02,Contextual Sidecar,,,,,,,NOT_STARTED,,
X03,Smart Defaults & Prefill,,,,,,,NOT_STARTED,,
X04,Batch Review + Exception Preview,,,,,,,NOT_STARTED,,
X05,Deterministic Next-Best-Action,,,,,,,NOT_STARTED,,
X06,Safe Undo / Reversible Draft,,,,,,,NOT_STARTED,,
X07,Recurring Payrun Clone + Diff,,,,,,,NOT_STARTED,,
X08,Live Consequence Preview,,,,,,,NOT_STARTED,,
Y01,Payroll Autopilot,,,,,,,NOT_STARTED,,
Y02,Variance Guard,,,,,,,NOT_STARTED,,
Y03,Policy Automations,,,,,,,NOT_STARTED,,
Y04,Import Copilot,,,,,,,NOT_STARTED,,
Y05,Document Autogeneration + e-Ack,,,,,,,NOT_STARTED,,
Y06,Attendance Auto-Regularization,,,,,,,NOT_STARTED,,
Y07,Payroll Calendar Automation,,,,,,,NOT_STARTED,,
Y08,Saved Views + Subscriptions,,,,,,,NOT_STARTED,,
Y09,Bank Advice + Reconciliation,,,,,,,NOT_STARTED,,
Y10,Onboarding/Offboarding Orchestrator,,,,,,,NOT_STARTED,,
OPS01,System Pulse tiles,,,,,,,NOT_STARTED,,
OPS02,Request Flow ribbon,,,,,,,NOT_STARTED,,
OPS03,Database panel,,,,,,,NOT_STARTED,,
OPS04,Client activity panel,,,,,,,NOT_STARTED,,
OPS05,Endpoint heat table,,,,,,,NOT_STARTED,,
OPS06,Jobs & queue panel,,,,,,,NOT_STARTED,,
OPS07,Network panel,,,,,,,NOT_STARTED,,
OPS08,Payroll engine panel,,,,,,,NOT_STARTED,,
OPS09,Dependencies + health,,,,,,,NOT_STARTED,,
OPS10,Load generator (demo:load),,,,,,,NOT_STARTED,,
